PAF.HDR.START,            # Start of PAF Header
PAF.TYPE                  "Instrument Setup", # Type of PAF
PAF.ID                    "", # ID for PAF
PAF.NAME                  "{PAFNAME}",# Name of PAF
PAF.DESC                  "Ephemeris / Eproc-3.0, 2018-05-12 08:36:14, IMCCE/OBSPM/CNRS"
PAF.DESC                  "Target body name: P/Giacobini-Zinner (0)"
PAF.DESC                  "Center body name: Earth {source: INPOP}"
PAF.DESC                  "Center-site name: Cerro Paranal"
PAF.DESC                  "Start time      : A.D. 2018-May-12 00:00:00.0000 UT"
PAF.DESC                  "Stop  time      : A.D. 2018-May-19 00:00:00.0000 UT"
PAF.DESC                  "Step-size       : 10.0  minutes"
PAF.DESC                  "Target pole/equ : IAU {East-longitude -}"
PAF.DESC                  "Target radii    : 0.00 x 0.00 x 0.00 km {Equator, meridian, pole}"
PAF.DESC                  "Atmos refraction: NO (AIRLESS)"
PAF.CRTE.NAME             "Eproc.ephemcc", # Name of creator
PAF.HDR.END,              # End of PAF Header
# Ephem cuts: AM = 2.60, Sun elevation = 0.00 deg.
#------------------------------------------------------------------------------
#                              Date & Time (UT)             JD              RA (J2000)     Dec (J2000)    dRA ("/s)   dDEC ("/s)   V-mag  Slit PA
#------------------------------------------------------------------------------
INS.EPHEM.RECORD          "2018-05-12T11:00:00.0000, 2458250.95833333349, 19 58 58.5105, +23 32 44.393, 0.01414215, 0.01908275, 14.0935, 0.000, *"
INS.EPHEM.RECORD          "2018-05-12T11:10:00.0000, 2458250.96527777798, 19 58 59.1278, +23 32 55.841, 0.01414980, 0.01907742, 14.0932, 0.000, *"
#------------------------------------------------------------------------------
INS.EPHEM.RECORD          "2018-05-13T06:10:00.0000, 2458251.75694444450, 20 00 11.8863, +23 54 50.128, 0.01420968, 0.01941513, 14.0503, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T06:20:00.0000, 2458251.76388888899, 20 00 12.5079, +23 55 01.776, 0.01419630, 0.01941125, 14.0499, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T06:30:00.0000, 2458251.77083333349, 20 00 13.1289, +23 55 13.422, 0.01418349, 0.01940714, 14.0495, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T06:40:00.0000, 2458251.77777777798, 20 00 13.7494, +23 55 25.065, 0.01417126, 0.01940281, 14.0491, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T06:50:00.0000, 2458251.78472222202, 20 00 14.3693, +23 55 36.705, 0.01415964, 0.01939827, 14.0488, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T07:00:00.0000, 2458251.79166666651, 20 00 14.9888, +23 55 48.343, 0.01414865, 0.01939353, 14.0484, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T07:10:00.0000, 2458251.79861111101, 20 00 15.6079, +23 55 59.978, 0.01413832, 0.01938860, 14.0480, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T07:20:00.0000, 2458251.80555555550, 20 00 16.2265, +23 56 11.609, 0.01412866, 0.01938349, 14.0476, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T07:30:00.0000, 2458251.81250000000, 20 00 16.8447, +23 56 23.238, 0.01411969, 0.01937822, 14.0472, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T07:40:00.0000, 2458251.81944444450, 20 00 17.4626, +23 56 34.863, 0.01411142, 0.01937280, 14.0469, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T07:50:00.0000, 2458251.82638888899, 20 00 18.0801, +23 56 46.486, 0.01410388, 0.01936723, 14.0465, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T08:00:00.0000, 2458251.83333333349, 20 00 18.6974, +23 56 58.104, 0.01409707, 0.01936154, 14.0461, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T08:10:00.0000, 2458251.84027777798, 20 00 19.3143, +23 57 09.720, 0.01409102, 0.01935573, 14.0457, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T08:20:00.0000, 2458251.84722222202, 20 00 19.9311, +23 57 21.331, 0.01408572, 0.01934982, 14.0454, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T08:30:00.0000, 2458251.85416666651, 20 00 20.5476, +23 57 32.940, 0.01408119, 0.01934382, 14.0450, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T08:40:00.0000, 2458251.86111111101, 20 00 21.1640, +23 57 44.544, 0.01407745, 0.01933775, 14.0446, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T08:50:00.0000, 2458251.86805555550, 20 00 21.7802, +23 57 56.145, 0.01407449, 0.01933162, 14.0442, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T09:00:00.0000, 2458251.87500000000, 20 00 22.3963, +23 58 07.742, 0.01407232, 0.01932545, 14.0438, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T09:10:00.0000, 2458251.88194444450, 20 00 23.0124, +23 58 19.336, 0.01407094, 0.01931924, 14.0435, 0.000, *"
INS.EPHEM.RECORD          "2018-05-13T09:20:00.0000, 2458251.88888888899, 20 00 23.6285, +23 58 30.926, 0.01407036, 0.01931301, 14.0431, 0.000, *"
